,New Book Name,ID,Link,Budget,Gross,Opening,Release Date,Awards List,Book Name,Characters,Genres,Num_reviews,Other editions,Pages,Star votes,Stars,publish_date,Award Count,Num Characters
175,City of God,tt0317248,http://www.imdb.com/title/tt0317248/,3300000,7563397,114442.0,13 February 2004,,City of God,[Ze Pequeno],"[Fiction, Cultural, Brazil, Mystery, Crime, Contemporary]",83.0,30.0,483 pages,"[381, 402, 242, 77, 28]",3.91,1997,0.0,1.0
176,Clear and Present Danger,tt0109444,http://www.imdb.com/title/tt0109444/,62000000,122187717,20348017.0,3 August 1994,,Clear and Present Danger (Jack Ryan Universe #6),"[John Clark, Dr. John ""Jack"" Patrick Ryan]","[Fiction, Thriller, Spy Thriller, Espionage, War, Military, Suspense]",537.0,85.0,688 pages,"[36099, 42091, 20676, 2980, 929]",4.06,August 17th 1989,0.0,2.0
177,Clockers,tt0112688,http://www.imdb.com/title/tt0112688/,25000000,13040603,,13 September 1995,,Clockers,[],"[Fiction, Mystery, Crime, Mystery, Thriller]",453.0,29.0,608 pages,"[2315, 3033, 1207, 204, 89]",4.06,January 1st 1992,0.0,0.0
178,Close Encounters Of The Third Kind,tt0075860,http://www.imdb.com/title/tt0075860/,20000000,15693175,,14 December 1977,,Close Encounters Of The Third Kind,[],"[Science Fiction, Fiction, Adventure, Fantasy, Science Fiction Fantasy, Science Fiction, Aliens, Classics, Media Tie In, Movies, Thriller, Novels]",71.0,26.0,256 pages,"[4136, 3245, 1990, 452, 145]",4.08,January 1st 1977,0.0,0.0
179,Cloud Atlas,tt1371111,http://www.imdb.com/title/tt1371111/,102000000,27108272,9612247.0,26 October 2012,"
Man Booker Prize Nominee (2004), Nebula Award Nominee for Best Novel (2004), Arthur C. Clarke Award Nominee (2005), James Tait Black Memorial Prize Nominee for Fiction (2004), British Book Award for Best Read of the Year (2005)
...more
National Book Critics Circle Award Nominee for Fiction (2004), Geoffrey Faber Memorial Prize (2005), The Rooster - The Morning News Tournament of Books (2005), Tähtivaeltaja Award Nominee (2009)
...less ",Cloud Atlas,"[Adam Ewing, Autua, Dr. Goose, Robert Frobisher, Rufus Sixsmith, Vyvyan Ayrs, Jocasta Ayrs, Eva van Outryve de Crommelynck, Luisa Rey, Timothy Cavendish, Sonmi~451, Zachry, Meronym, Hae-Joo Im, Mr. Meeks, Ernie Blacksmith, Nurse Noakes, Javier Gomez, Fay Li, Bill Smoke, Joe Napier, Yoona-939, Isaac Sachs, Old Georgie]","[Science Fiction, Fiction, Historical Fiction, Science Fiction, Dystopia]",16384.0,107.0,509 pages,"[64080, 55201, 26823, 10018, 5192]",4.01,January 2004,8.0,24.0
180,Cloudy With a Chance of Meatballs,tt0844471,http://www.imdb.com/title/tt0844471/,100000000,124870275,30304648.0,18 September 2009,,Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs #1),[],"[Childrens, Picture Books, Childrens, Fiction, Fantasy, Humor, Food and Drink, Food, Classics, Kids, Childrens, Juvenile, Humor, Funny]",1712.0,27.0,32 pages,"[47869, 29252, 18970, 4455, 1570]",4.15,1978,0.0,0.0
181,Cold Comfort Farm,tt0112701,http://www.imdb.com/title/tt0112701/,,,,,"
Prix Femina Vie Heureuse (1933)
",Cold Comfort Farm (Cold Comfort Farm),[Flora Poste],"[Fiction, Classics, Humor]",2355.0,59.0,233 pages,"[10147, 11454, 6953, 1838, 690]",3.92,September 8th 1932,1.0,1.0
182,Cold Mountain,tt0159365,http://www.imdb.com/title/tt0159365/,79000000,95632614,14574213.0,25 December 2003,"
National Book Award for Fiction (1997), American Booksellers Book Of The Year  Award for Adult Trade (1998), Exclusive Books Boeke Prize (1998), Sue Kaufman Prize for First Fiction (1998), Chicago Tribune Heartland Prize for Fiction (1997)
...more
Weatherford Award (1997), Lillian Smith Book Award (1997)
...less ",Cold Mountain,[],"[Historical Fiction, Fiction, Historical, Romance, Military History, Civil War, War, Classics, Literature, Novels, Adult Fiction]",4675.0,93.0,449 pages,"[54591, 64891, 42083, 13561, 5900]",3.82,January 1st 1997,6.0,0.0
183,Conan the Destroyer,tt0087078,http://www.imdb.com/title/tt0087078/,18000000,25626879,6876678.0,29 June 1984,,Conan the Destroyer (Robert Jordan's Conan Novels #6),[],"[Fantasy, Fiction, Heroic Fantasy, Sword and Sorcery, Fantasy, High Fantasy, Adventure]",26.0,17.0,288 pages,"[302, 391, 310, 65, 15]",3.83,1984,0.0,0.0
184,Confessions Of A Dangerous Mind,tt0270288,http://www.imdb.com/title/tt0270288/,29000000,16003576,12537.0,24 January 2003,,Confessions Of A Dangerous Mind (Confessions of a Dangerous Mind #1),[],"[Biography, Nonfiction, Autobiography, Memoir, Biography, Autobiography]",109.0,14.0,256 pages,"[241, 458, 374, 98, 19]",3.68,1984,0.0,0.0
185,Confessions of a Shopaholic,tt1093908,http://www.imdb.com/title/tt1093908/,,44277350,17809053.0,13 February 2009,,Confessions of a Shopaholic (Shopaholic #1),"[Becky Bloomwood, Luke Brandon, Susan Cleath-Stuart, Tarquin Cleath-Stuart, Alicia Billington]","[Womens Fiction, Chick Lit, Humor, Funny, Adult Fiction, Romance, Contemporary Romance, Humor, Comedy, Humor]",10810.0,141.0,368 pages,"[140667, 161069, 152175, 55759, 30150]",3.6,2000,0.0,5.0
186,Confessions of a Teenage Drama Queen,tt0361467,http://www.imdb.com/title/tt0361467/,15000000,29331068,9350572.0,20 February 2004,,Confessions of a Teenage Drama Queen (Confessions of a Teenage Drama Queen #1),[],"[Young Adult, Womens Fiction, Chick Lit, Fiction, Contemporary, Realistic Fiction, Young Adult, Teen, Humor, Childrens, Romance, Media Tie In, Movies]",206.0,27.0,272 pages,"[574, 865, 1350, 556, 153]",3.33,January 1st 1999,0.0,0.0
187,Confessions of an Ugly Stepsister,tt0267384,http://www.imdb.com/title/tt0267384/,,,,,,Confessions of an Ugly Stepsister,[],"[Fantasy, Fantasy, Fairy Tales, Historical Fiction, Retellings]",3258.0,25.0,372 pages,"[8502, 17522, 17510, 5635, 1521]",3.51,October 6th 1999,0.0,0.0
188,Congo,tt0112715,http://www.imdb.com/title/tt0112715/,50000000,75791168,24642539.0,9 June 1995,,Congo,[],"[Fiction, Science Fiction, Thriller, Adventure, Mystery, Suspense, Horror, Cultural, Africa, Novels, Action]",1509.0,77.0,480 pages,"[22698, 42384, 46061, 13556, 2843]",3.54,1980,0.0,0.0
189,Constantine,tt0360486,http://www.imdb.com/title/tt0360486/,100000000,75976178,29769098.0,18 February 2005,,Constantine,[],"[Horror, Fantasy, Sequential Art, Graphic Novels, Fiction, Fantasy, Supernatural, Fantasy, Paranormal]",38.0,0.0,336 pages,"[246, 198, 176, 43, 7]",3.94,,0.0,0.0
190,Contact,tt0118884,http://www.imdb.com/title/tt0118884/,90000000,100853835,20584908.0,11 July 1997,"
Locus Award for Best First Novel (1986)
",Contact,[Ellie Arroway],"[Science Fiction, Fiction]",1929.0,79.0,580 pages,"[34307, 33587, 17075, 3247, 837]",4.09,1985,1.0,1.0
191,Cool Hand Luke,tt0061512,http://www.imdb.com/title/tt0061512/,3200000,16217773,,1 November 1967,,Cool Hand Luke,[],"[Fiction, Media Tie In, Movies, Classics, Literature, Novels, Historical Fiction]",75.0,20.0,304 pages,"[242, 295, 132, 22, 1]",4.09,January 1st 1965,0.0,0.0
192,Coraline,tt0327597,http://www.imdb.com/title/tt0327597/,60000000,75280058,16849646.0,6 February 2009,"
Bram Stoker Award for Best Work for Young Readers (2002), Hugo Award for Best Novella (2003), Nebula Award for Best Novella (2003), Locus Award for Best Young Adult Novel (2003), World Fantasy Award Nominee for Best Novella (2003)
...more
Mythopoeic Fantasy Award Nominee for Children's Literature (2003), Dorothy Canfield Fisher Children's Book Award Nominee (2004), Child Magazine Best Book of the Year, Will Eisner Comic Industry Awards for Best Publication for Teens/Tweens (2009), Elizabeth Burr / Worzalla Award (2003)
...less ",Coraline,[],"[Sequential Art, Graphic Novels, Fantasy, Horror, Sequential Art, Comics, Young Adult, Fiction]",12808.0,166.0,186 pages,"[5076, 5365, 3493, 767, 230]",4.02,2002,9.0,4.0
193,Corelli's Mandolin,tt0238112,http://www.imdb.com/title/tt0238112/,57000000,25543895,7209345.0,17 August 2001,"
Commonwealth Writers' Prize for Best Book Overall (1995)
",Corelli's Mandolin,"[Pelagia, Antonio Corelli, Mandras, Dr Iannis]","[Fiction, Historical Fiction, Romance, War, Classics, Historical]",2115.0,96.0,437 pages,"[21307, 22406, 12630, 3897, 1684]",3.93,1994,1.0,4.0
194,Coriolanus,tt1372686,http://www.imdb.com/title/tt1372686/,,756452,61136.0,,,Coriolanus,[Gaius Marcius Coriolanus],"[Literature, Poetry, Classics, Plays, Historical Fiction, Plays, Theatre, European Literature, British Literature, Academic, School, Literature, 17th Century, Drama]",486.0,437.0,208 pages,"[2205, 3016, 2597, 838, 186]",3.7,1605,0.0,1.0
195,Cosi Fan Tutte,tt1805767,http://www.imdb.com/title/tt1805767/,,,,,,Cosi Fan Tutte,[],[],1.0,1.0,106 pages,"[2, 4, 1, 0, 0]",4.14,,0.0,0.0
196,Cosmopolis,tt1480656,http://www.imdb.com/title/tt1480656/,20500000,743636,70339.0,,,Cosmopolis,[Eric Packer],"[Fiction, Contemporary, Novels, Literature, American, Literature]",1113.0,73.0,224 pages,"[1374, 3369, 4168, 2111, 735]",3.22,2003,0.0,1.0
197,Cosmos,tt0081846,http://www.imdb.com/title/tt0081846/,8250000,,,,"
Hugo Award for Best Non-Fiction Book (1981), National Book Award Finalist for Science (Hardcover) (1981)
",Cosmos,[],"[Science, Nonfiction, Science, Astronomy, Science, Physics, History]",1613.0,77.0,384 pages,"[40441, 20603, 8033, 1798, 1144]",4.35,1980,2.0,0.0
198,Cranford,tt0974077,http://www.imdb.com/title/tt0974077/,,,,,,Cranford,"[Mary Smith, Miss Matty Jenkyns, Miss Deborah Jenkyns, Miss Pole, Betty Barker, Captain Brown, Thomas Holbrook, Peter Jenkyns]","[Classics, Fiction, Historical Fiction, Literature, 19th Century, Historical, Victorian]",1575.0,352.0,257 pages,"[7974, 9728, 6827, 1757, 623]",3.84,1851,0.0,8.0
199,Crash,tt0375679,http://www.imdb.com/title/tt0375679/,6500000,54580300,342709.0,6 May 2005,,Crash,[],"[Fiction, Science Fiction, Literature, Novels]",853.0,78.0,224 pages,"[3323, 4752, 3623, 1677, 760]",3.58,1973,0.0,0.0
200,Crazy,tt0215681,http://www.imdb.com/title/tt0215681/,,,,,,Crazy,[],"[Young Adult, Fiction, European Literature, German Literature, Academic, School, Contemporary]",81.0,31.0,175 pages,"[155, 257, 538, 353, 145]",2.95,1999,0.0,0.0
201,Crazy in Alabama,tt0142201,http://www.imdb.com/title/tt0142201/,15000000,1954202,1010596.0,22 October 1999,"
Alabama Author Award - Fiction (1994)
",Crazy in Alabama,[],"[Fiction, American, Southern, Humor]",244.0,16.0,384 pages,"[1315, 1807, 996, 214, 64]",3.93,1993,1.0,0.0
202,Crimson Rivers,tt0228786,http://www.imdb.com/title/tt0228786/,,69316,31734.0,,,Crimson Rivers,[],"[Thriller, Mystery, Crime, Mystery, Cultural, France, Fiction, European Literature, French Literature, Novels, Roman, Mystery, Detective, European Literature, German Literature]",127.0,61.0,328 pages,"[1592, 1793, 721, 121, 30]",4.13,1997,0.0,0.0
203,Critical Care,tt0118901,http://www.imdb.com/title/tt0118901/,12000000,141853,43380.0,31 October 1997,,Critical Care,[],"[Fiction, Health, Medicine, Humor]",5.0,9.0,248 pages,"[10, 25, 30, 9, 5]",3.33,1992,0.0,0.0
204,Cuba Libre,tt0499006,http://www.imdb.com/title/tt0499006/,,,,,,Cuba Libre,[],"[Fiction, Historical Fiction, Mystery, Crime, Mystery, Western]",172.0,32.0,432 pages,"[501, 1346, 1201, 240, 36]",3.61,1998,0.0,0.0
205,Cujo,tt0085382,http://www.imdb.com/title/tt0085382/,5000000,21200000,6114000.0,12 August 1983,"
British Fantasy Award for Best Novel (1982)
",Cujo,"[Tad Trenton, Donna Trenton, Vic Trenton, Steve Kemp, Joe Camber, Charity Camber, Brett Camber, Cujo, Roger Breakstone, Gary Pervier, Frank Dodd]","[Horror, Fiction, Thriller]",2526.0,135.0,432 pages,"[35625, 48388, 51295, 15384, 3891]",3.62,September 8th 1981,1.0,11.0
206,Curious George,tt0381971,http://www.imdb.com/title/tt0381971/,50000000,58336565,14703405.0,10 February 2006,"
North Dakota Children's Choice Award (1981)
",Curious George (Curious George Original Adventures),[],"[Childrens, Childrens, Picture Books, Fiction, Classics, Animals, Adventure, Kids, Humor, Childrens, Juvenile, Fantasy]",791.0,53.0,48 pages,"[51483, 28770, 21360, 5025, 2010]",4.13,1941,1.0,0.0
207,Daddy-Long-Legs,tt0010040,http://www.imdb.com/title/tt0010040/,,,,11 May 1919,,Daddy-Long-Legs (Daddy-Long-Legs #1),"[Jerusha ""Judy"" Abbott, Jervis Pendleton, Jimmy McBride, Julia Pendleton, Sally McBride]","[Classics, Young Adult, Fiction, Romance, Historical Fiction]",2502.0,307.0,249 pages,"[10304, 9248, 5058, 998, 324]",4.09,,0.0,5.0
208,Damnation Alley,tt0075909,http://www.imdb.com/title/tt0075909/,17000000,8720000,,21 October 1977,,Damnation Alley,[Hell Tanner],"[Science Fiction, Fiction, Apocalyptic, Post Apocalyptic]",153.0,39.0,240 pages,"[606, 1160, 1340, 352, 43]",3.55,July 14th 1968,0.0,1.0
209,Dance Me Outside,tt0109529,http://www.imdb.com/title/tt0109529/,,304852,,10 March 1995,,Dance Me Outside,[],"[Fiction, Short Stories, Cultural, Canada]",33.0,3.0,158 pages,"[182, 192, 76, 5, 2]",4.2,1977,0.0,0.0
210,Dances with Wolves,tt0099348,http://www.imdb.com/title/tt0099348/,22000000,184208848,598257.0,21 November 1990,,Dances with Wolves (Dances With Wolves #1),"[Kicking Bird, John Dunbar, Wind In His Hair, Stands With A Fist]","[Historical Fiction, Fiction, Western, Historical, Classics]",362.0,55.0,304 pages,"[8707, 6225, 3191, 666, 241]",4.18,1988,0.0,4.0
211,Dangerous Minds,tt0112792,http://www.imdb.com/title/tt0112792/,23000000,84919401,14931503.0,11 August 1995,,Dangerous Minds,[],"[Nonfiction, Autobiography, Memoir, Teaching, Education, Biography]",54.0,13.0,278 pages,"[227, 283, 249, 40, 9]",3.84,1992,0.0,0.0
212,Dark Places,tt2402101,http://www.imdb.com/title/tt2402101/,20000000,208588,,18 June 2015,"
Black Quill Award for Dark Genre Novel of the Year (2010), CWA Ian Fleming Steel Dagger Nominee (2010)
",Dark Places,"[Libby Day, Ben Day, Patty Day, Ronald 'Runner' Day, Diondra Wertzner]","[Mystery, Fiction, Thriller, Mystery, Crime, Thriller, Mystery Thriller, Suspense, Adult, Contemporary, Horror, Adult Fiction]",27125.0,125.0,349 pages,"[93400, 146564, 78762, 15706, 4337]",3.91,,2.0,5.0
213,Dark Reunion,tt2117857,http://www.imdb.com/title/tt2117857/,15000,,,15 November 2012,,Dark Reunion (The Vampire Diaries #4),"[Klaus, Elena Gilbert, Stefan Salvatore, Damon Salvatore, Matt Honeycutt, Bonnie McCullough, Caroline Forbes, Tyler Lockwood, Meredith Sulez]","[Paranormal, Vampires, Young Adult, Fantasy, Fantasy, Paranormal, Romance]",621.0,57.0,287 pages,"[4962, 4959, 5791, 2492, 959]",3.55,1991,0.0,9.0
214,David Copperfield,tt0167872,http://www.imdb.com/title/tt0167872/,,,,,,David Copperfield,"[Richard Babley, Mr. Barkis, Mr. Chillip, David Copperfield, Mr. Creakle, The Rev. Horace Crewler, Uriah Heep, Mr. Joram, Mr. Jorkens, Littimer, Jack Maldon, Mr. Charles Mell, Mr. Wilkins  Micawber, Master Wilkins Micawber, Mr. Mills, Mr. Edward Murdstone, Mr. Omer, Daniel Peggotty, Ham Peggotty, Mr. Quinion, Mr. Francis Spenlow, James Steerforth, Dr. Strong, Mr. Tiffey, Thomas Traddles, Mr. Wickfield, Mrs. Clara Copperfield, Mrs. Creakle, Miss Creakle, Mrs. Crewler, Mrs. Crupp, Rosa Dartle, Little Emily, Martha Endell, Mrs. Gummidge, Mrs. Heep, Mrs. Marckleham, Mrs. Emma Micawber, Miss Emma Micawber, Miss Julia Mills, Miss Mowcher, Miss Jane Murdstone, Minnie Omer, Clara Peggotty, Miss Clarissa Spenlow, Miss Dora Spenlow, Miss Lavina Spenlow, Mrs. Steerforth, Mrs. Annie Strong, Miss Betsey Trotwood, Agnes Wickfield, Miss Lavinia, Little Em'ly, Mr. Spenlow, Miss Dartle, Doady, Anne Strong, Sophy Crewler]","[Classics, Fiction, Literature, Historical Fiction]",4269.0,1087.0,974 pages,"[55064, 53890, 34063, 9047, 3281]",3.96,1849,0.0,58.0
215,Day Watch,tt0409904,http://www.imdb.com/title/tt0409904/,4200000,450686,46730.0,15 June 2007,,Day Watch (Дозоры #2),"[Anton Gorodetsky, Svetlana Nazarova, Boris Ignatievich Gesar, Semyon, Tiger Cub, Igor Teplov, Zabulon, Alisa Donnikova, Witezslav Grubin, Edgar (Day Watch)]","[Fantasy, Fantasy, Urban Fantasy, Fiction, Horror, Paranormal, Vampires, Cultural, Russia, Fantasy, Paranormal, Science Fiction, Fantasy, Supernatural, Science Fiction Fantasy]",577.0,55.0,453 pages,"[5470, 6945, 3146, 572, 124]",4.05,2000,0.0,10.0
216,Dead Poets Society,tt0097165,http://www.imdb.com/title/tt0097165/,16400000,95860116,340456.0,9 June 1989,,Dead Poets Society,"[John Keating, Neil Perry, Todd Anderson, Knox Overstreet]","[Classics, Fiction, Media Tie In, Movies]",664.0,23.0,166 pages,"[15725, 11736, 5425, 1161, 363]",4.2,1988,0.0,4.0
217,Dear John,tt0989757,http://www.imdb.com/title/tt0989757/,25000000,80014842,30468614.0,5 February 2010,,Dear John,"[Savannah Lynn Curtis, John Tyree]","[Romance, Fiction, Womens Fiction, Chick Lit, Contemporary, Adult, Adult Fiction, Young Adult, Love, Drama, Romance, Contemporary Romance]",10387.0,108.0,276 pages,"[167527, 136623, 89845, 24137, 9177]",4.0,2006,0.0,2.0
218,Death Comes to Pemberley,tt2951788,http://www.imdb.com/title/tt2951788/,,,,,,Death Comes to Pemberley,"[Jane Bennet, Elizabeth Bennet, Lydia Bennet, Fitzwilliam Darcy, Georgiana Darcy, Colonel Fitzwilliam, Charles Bingley, George Wickham, Henry Alveston]","[Mystery, Fiction, Historical Fiction, Historical, Mystery, Crime]",8415.0,73.0,291 pages,"[9538, 17700, 24226, 13032, 5345]",3.19,November 1st 2011,0.0,9.0
219,Death on the Nile,tt0077413,http://www.imdb.com/title/tt0077413/,7920000,14560084,,29 September 1978,,Death on the Nile (Hercule Poirot #17),"[Colonel Race, Hercule Poirot]","[Mystery, Mystery, Crime, Classics, Mystery, Detective]",1958.0,256.0,214 pages,"[22432, 27782, 14841, 1774, 257]",4.05,November 1st 1937,0.0,2.0
220,Deliverance,tt0068473,http://www.imdb.com/title/tt0068473/,2000000,46122355,,,"
Prix Médicis Etranger (1971), National Book Award Finalist for Fiction (1971)
",Deliverance,"[Ed Gentry, Bobby Trippe, Drew Ballinger, Lewis Medlock]","[Fiction, Classics, Thriller, Adventure, Horror, Literature]",907.0,37.0,288 pages,"[6897, 9653, 5908, 1376, 588]",3.86,1970,2.0,4.0
221,Derailed,tt0398017,http://www.imdb.com/title/tt0398017/,22000000,36024076,12211986.0,11 November 2005,,Derailed,[],"[Thriller, Fiction, Suspense, Mystery, Thriller, Mystery Thriller, Mystery, Crime, Media Tie In, Movies, Adult Fiction, Contemporary]",199.0,39.0,,"[448, 725, 451, 143, 42]",3.77,January 1st 2003,0.0,0.0
222,Desperation,tt0129871,http://www.imdb.com/title/tt0129871/,12000000,,,,"
Locus Award for Best Dark Fantasy/Horror Novel (1997)
",Desperation,"[Collie Entragian, David Carver]","[Fiction, Fantasy, Suspense]",1622.0,121.0,547 pages,"[28757, 31551, 26131, 7777, 2237]",3.8,September 24th 1996,1.0,2.0
223,Devil in a Blue Dress,tt0112857,http://www.imdb.com/title/tt0112857/,27000000,16030096,,29 September 1995,"
Shamus Award for Best First PI Novel (1991), The Crime Writers' Association New Blood Dagger (1991), Edgar Award Nominee for Best First Novel (1991)
",Devil in a Blue Dress (Easy Rawlins #1),"[Raymond ""Mouse"" Alexander, Ezekiel ""Easy"" Rawlins]","[Mystery, Mystery, Noir, Fiction, Cultural, African American, Thriller, Mystery Thriller, Thriller]",771.0,46.0,263 pages,"[3553, 5543, 3077, 650, 120]",3.91,1990,3.0,2.0
224,Diamonds Are Forever,tt0066995,http://www.imdb.com/title/tt0066995/,7200000,43819547,,17 December 1971,,Diamonds Are Forever (James Bond (Original Series) #4),"[James Bond, M, Tiffany Case, Felix Leiter]","[Fiction, Thriller, Spy Thriller, Espionage, Mystery, Adventure]",591.0,92.0,290 pages,"[1754, 4234, 4417, 892, 104]",3.58,June 1956,0.0,4.0
225,Diary of a Wimpy Kid,tt1196141,http://www.imdb.com/title/tt1196141/,15000000,64001297,22126166.0,19 March 2010,"
Borders Original Voices Award for YA or Independent Reader (2007), Books I Loved Best Yearly (BILBY) Awards for Younger Readers (2010, 2012) (2010), West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2009), Dorothy Canfield Fisher Children's Book Award (2009), North Carolina Children's Book Award (2009)
",Diary of a Wimpy Kid (Diary of a Wimpy Kid #1),"[Greg Heffley, Rodrick Heffley, Manny Heffley, Rowley]","[Humor, Childrens, Fiction, Realistic Fiction, Young Adult, Childrens, Middle Grade, Humor, Funny, Sequential Art, Graphic Novels, Humor, Comedy, Childrens, Juvenile]",12472.0,102.0,217 pages,"[94817, 60533, 46519, 16087, 8529]",3.96,2004,6.0,4.0
226,Die Wand,tt0114890,http://www.imdb.com/title/tt0114890/,,,,,,Die Wand,"[""Cat"", an unnamed woman, her dog, cow]","[Fiction, European Literature, German Literature, Science Fiction, Science Fiction, Dystopia, Apocalyptic, Post Apocalyptic]",343.0,61.0,314 pages,"[1130, 884, 476, 211, 113]",3.96,1963,0.0,4.0
227,Disappearing Acts,tt0243220,http://www.imdb.com/title/tt0243220/,,,,,,Disappearing Acts,[],"[Fiction, Cultural, African American, Romance, American, African American Literature, Contemporary, Womens Fiction, Chick Lit, Urban, Novels, Romance, African American Romance, Adult]",157.0,16.0,464 pages,"[4996, 3503, 2014, 335, 68]",4.19,1989,0.0,0.0
228,Disclosure,tt0109635,http://www.imdb.com/title/tt0109635/,55000000,83015089,10068126.0,9 December 1994,,Disclosure,[],"[Fiction, Thriller, Mystery, Suspense]",670.0,75.0,455 pages,"[13630, 21185, 17451, 4050, 894]",3.74,,0.0,0.0
229,Divergent,tt1840309,http://www.imdb.com/title/tt1840309/,85000000,150947895,54607747.0,21 March 2014,"
Georgia Peach Book Award (2012), Evergreen Teen Book Award (2014), Milwaukee County Teen Book Award Nominee (2012), Children's Choice Book Award Nominee for Teen Choice Book of the Year (2012), Sakura Medal
...more
New Mexico Land of Enchantment Award for Young Adult (2014), Abraham Lincoln Award Nominee (2014), DABWAHA Romance Tournament for Best Young Adult Romance (2012), Goodreads Choice Award for Favorite Book of 2011 and for Best Young Adult Fantasy & Science Fiction (2011), Green Mountain Book Award (2013), The Magnolia Award for 6-8 (2014), Missouri Gateway Readers Award (2014), Oklahoma Sequoyah Award for High Schol (2014), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2011)
...less ",Divergent (Divergent #1),"[Albert, Drew Leighton (Divergent), Eric (Divergent), Beatrice Prior, Peter, Caleb Prior, Natalie Prior, Molly Atwood, Christina, Jeanine Matthews, Marcus Eaton, 翠丝, 老四, Tobias Eaton]","[Young Adult, Science Fiction, Dystopia, Fiction, Fantasy]",98945.0,194.0,487 pages,"[1026781, 607600, 272140, 70991, 30488]",4.26,April 25th 2011,13.0,14.0
230,Divine Secrets of the Ya-Ya Sisterhood,tt0279778,http://www.imdb.com/title/tt0279778/,27000000,69586544,16167412.0,7 June 2002,"
Orange Prize Nominee for Fiction Shortlist (2000), American Booksellers Book Of The Year  Award for Adult Trade (1999)
",Divine Secrets of the Ya-Ya Sisterhood (Ya Yas #1),[],"[Fiction, Womens Fiction, Chick Lit, Contemporary, Adult Fiction]",3751.0,67.0,383 pages,"[134886, 153458, 117703, 34779, 15617]",3.78,1996,2.0,0.0
231,Doctor No,tt2203888,http://www.imdb.com/title/tt2203888/,,,,,,Doctor No (James Bond (Original Series) #6),"[James Bond, Julius No, Honeychile Rider]","[Fiction, Thriller, Spy Thriller, Espionage, Adventure, Mystery]",624.0,111.0,309 pages,"[2640, 5079, 3931, 696, 110]",3.76,January 1st 1958,0.0,3.0
232,Doctor Zhivago,tt0059113,http://www.imdb.com/title/tt0059113/,11000000,111721910,,31 December 1965,"
Premio Bancarella (1958)
",Doctor Zhivago,"[Gordon, Zjivago, Gromeko, Markel, Antipov, Guichard, Komarovski, Kologrivov, Tiverzin, Galioellin, Vledjenjapin, Doedorov, Djamina]","[Historical Fiction, Cultural, Russia, Literature, Russian Literature, Classics, Romance, Literature]",1933.0,313.0,592 pages,"[24768, 22184, 12078, 3372, 1204]",4.04,1957,1.0,13.0
233,Dolores Claiborne,tt0109642,http://www.imdb.com/title/tt0109642/,,24361867,5721920.0,24 March 1995,,Dolores Claiborne,[],"[Horror, Thriller, Mystery]",1537.0,137.0,324 pages,"[26257, 31321, 26143, 7340, 1567]",3.79,November 1992,0.0,0.0
234,Don Quixote,tt0181212,http://www.imdb.com/title/tt0181212/,18000000,,,,"
Will Eisner Comic Industry Awards Nominee for Best Adaptation from Another Medium & Best Humor Publication (2014)
",Don Quixote (Don Quijote de la Mancha #1-2),"[Sancho Panza, Don Quijote de la Mancha]","[Classics, Literature, European Literature, Spanish Literature, Adventure, Historical Fiction]",4981.0,1759.0,1023 pages,"[49827, 47704, 36063, 11666, 4437]",3.85,January 16th 1605,1.0,2.0
235,Don't Move,tt0330702,http://www.imdb.com/title/tt0330702/,,,,,"
International IMPAC Dublin Literary Award Nominee (2006), Premio Strega (2002), Premio Grinzane Cavour (2002), Prix Littéraire Européen - Madeleine Zepter (2004)
",Don't Move,[],"[Fiction, European Literature, Italian Literature, Cultural, Italy, Romance, Contemporary, Literary Fiction, Modern, Novels, Literature, 21st Century, Literature]",203.0,42.0,368 pages,"[962, 1109, 759, 300, 163]",3.73,2001,4.0,0.0
236,Donnie Brasco,tt0119008,http://www.imdb.com/title/tt0119008/,35000000,41954997,11660216.0,28 February 1997,,Donnie Brasco,[],"[Mystery, Crime, Autobiography, Memoir, Biography, Adult, Biography Memoir]",169.0,26.0,416 pages,"[1628, 1971, 1166, 200, 43]",3.99,1987,0.0,0.0
237,Double Indemnity,tt0036775,http://www.imdb.com/title/tt0036775/,927262,5720000,,21 April 1944,,Double Indemnity,[],"[Mystery, Mystery, Noir, Fiction, Mystery, Crime, Classics, Thriller]",718.0,46.0,115 pages,"[5148, 5565, 2396, 400, 102]",4.12,1936,0.0,0.0
238,Dr. Mabuse,tt0023563,http://www.imdb.com/title/tt0023563/,,,,1952,,Dr. Mabuse,"[Herr von Wenk, Dr Mabuse, Karstens, Edgar Hull, Lucy Told, Count Told, Spoerri, George Strumpfli, Cara Carozza]","[Gothic, Mystery, Crime]",6.0,6.0,270 pages,"[2, 4, 6, 4, 1]",3.12,1921,0.0,9.0
