,New Book Name,ID,Link,Budget,Gross,Opening,Release Date,Awards List,Book Name,Characters,Genres,Num_reviews,Other editions,Pages,Star votes,Stars,publish_date,Award Count,Num Characters
763,The Apple Dumpling Gang,tt0072653,http://www.imdb.com/title/tt0072653/,,36853000,,1 July 1975,,The Apple Dumpling Gang,[],"[Humor, Historical Fiction, Western, Young Adult]",7.0,5.0,0 pages,"[3, 7, 16, 2, 2]",3.23,1971,0.0,0.0
764,The Assassination of Jesse James by the Coward Robert Ford,tt0443680,http://www.imdb.com/title/tt0443680/,30000000,3904982,147812.0,19 October 2007,"
PEN/Faulkner Award for Fiction Nominee (1984)
",The Assassination of Jesse James by the Coward Robert Ford,"[Jesse James, Frank James, Robert Ford, Charley Ford, Wood Hite, Dick Liddil]","[Western, Historical Fiction, Fiction, Historical]",226.0,35.0,320 pages,"[551, 731, 413, 97, 33]",3.92,January 1st 1983,1.0,6.0
765,The Autobiography of Miss Jane Pittman,tt0071175,http://www.imdb.com/title/tt0071175/,,,,,"
California Book Award Silver Medal for Fiction (1971)
",The Autobiography of Miss Jane Pittman,[],"[Cultural, African American, Historical Fiction, Fiction]",259.0,31.0,272 pages,"[3968, 3350, 1653, 270, 104]",4.16,January 1st 1971,1.0,0.0
766,The Awakening,tt1687901,http://www.imdb.com/title/tt1687901/,,,,,,The Awakening (The Vampire Diaries #1),"[Elena Gilbert, Stefan Salvatore, Damon Salvatore, Matt Honeycutt, Bonnie McCullough, Caroline Forbes, Meredith Sulez]","[Paranormal, Vampires, Young Adult, Fantasy, Fantasy, Paranormal, Romance]",2717.0,81.0,311 pages,"[11987, 11695, 14330, 7441, 3984]",3.41,1991,0.0,7.0
767,The BFG,tt3691740,http://www.imdb.com/title/tt3691740/,140000000,55483770,19584969.0,1 July 2016,"
Zilveren Griffel (1984), Books I Loved Best Yearly (BILBY) Awards for Read Aloud, Read Alone (1991), West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (1985), Rebecca Caudill Young Reader's Book Award Nominee (1989), Red House Children's Book Award (1983)
...more
Deutscher Jugendliteraturpreis for Kinderbuch (1985)
...less ",The BFG,"[Sophie Mercer Evans, the Big Friendly Giant]","[Childrens, Fiction, Young Adult]",7100.0,176.0,195 pages,"[110975, 78464, 39126, 7155, 2475]",4.21,1982,6.0,2.0
768,The Bad Mother's Handbook,tt0909010,http://www.imdb.com/title/tt0909010/,,,,,,The Bad Mother's Handbook (Bad Mother Series #1),[],"[Womens Fiction, Chick Lit, Fiction, Contemporary, Humor, Young Adult]",130.0,29.0,365 pages,"[251, 456, 507, 177, 45]",3.48,January 1st 2004,0.0,0.0
769,The Basketball Diaries,tt0112461,http://www.imdb.com/title/tt0112461/,,2424439,,21 April 1995,,The Basketball Diaries,[],"[Nonfiction, Autobiography, Memoir, Biography]",393.0,20.0,224 pages,"[7574, 8681, 5111, 980, 362]",3.97,1978,0.0,0.0
770,The Beach,tt0163978,http://www.imdb.com/title/tt0163978/,50000000,39778599,15277921.0,11 February 2000,"
Betty Trask Award (1997)
",The Beach,[],"[Fiction, Travel, Adventure, Thriller, Contemporary, Cultural, Asia, Novels, Classics, European Literature, British Literature, Mystery]",1951.0,86.0,436 pages,"[16013, 21617, 12699, 3140, 810]",3.9,1996,1.0,0.0
771,The Best Exotic Marigold Hotel,tt1412386,http://www.imdb.com/title/tt1412386/,10000000,46412041,737051.0,25 May 2012,,The Best Exotic Marigold Hotel,[],"[Fiction, Cultural, India, Contemporary, Humor, Travel]",1342.0,35.0,336 pages,"[1212, 2854, 3021, 983, 253]",3.46,January 1st 2004,0.0,0.0
772,The Big Bounce,tt0315824,http://www.imdb.com/title/tt0315824/,50000000,6471394,3336374.0,30 January 2004,,The Big Bounce (Jack Ryan #1),[],"[Fiction, Mystery, Crime, Mystery, Thriller, Mystery, Detective, Mystery, Noir, Novels, Mystery, Hard Boiled, Literature, American, Humor]",86.0,25.0,336 pages,"[160, 498, 637, 146, 33]",3.41,1969,0.0,0.0
