,New Book Name,ID,Link,Budget,Gross,Opening,Release Date,Awards List,Book Name,Characters,Genres,Num_reviews,Other editions,Pages,Star votes,Stars,publish_date,Award Count,Num Characters,Star_count_5,Star_count_4,Star_count_3,Star_count_2,Star_count_1,Star_count_total,Genre_Fiction,Genre_Fantasy,Genre_Classics,Genre_Mystery,Genre_Young Adult,Genre_Romance,Genre_Literature,Genre_Historical Fiction,Genre_Thriller,Genre_Childrens,Genre_Science Fiction,Genre_Novels,Genre_Contemporary,Genre_Adventure,Genre_Crime,Genre_Cultural,Genre_Sequential Art,Genre_Historical,Genre_Humor,Genre_Horror,Genre_Paranormal,Genre_Nonfiction,Genre_War,Genre_European Literature,Genre_Biography,Genre_Womens Fiction,Genre_Suspense,Genre_Chick Lit,Genre_Adult,Genre_Autobiography,Genre_History,Time Diff
20,A Little Princess,tt0113670,http://www.imdb.com/title/tt0113670/,17000000,10019307,,1995-05-19,,A Little Princess,"[Becky Denning, Sara Crewe, Ralph Crewe, Maria Minchin, Ermengarde St. John]","[Classics, Fiction, Childrens, Young Adult]",4692.0,665.0,242.0,"[88283, 67434, 32534, 5506, 2092]",4.2,1902-12-13,0.0,5.0,2092.0,5506.0,32534.0,67434.0,88283.0,195849.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33760 days 00:00:00.000000000
21,A Living Nightmare,tt4032712,http://www.imdb.com/title/tt4032712/,,,,,,A Living Nightmare (Cirque du Freak #1),[Darren Shan],"[Fantasy, Young Adult, Paranormal, Vampires, Horror, Fantasy, Paranormal, Fiction]",2802.0,79.0,272.0,"[16890, 12972, 8152, 2140, 622]",4.06,2000-12-13,0.0,1.0,622.0,2140.0,8152.0,12972.0,16890.0,40776.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,A Midsummer Night's Dream,tt0140379,http://www.imdb.com/title/tt0140379/,11000000,16071990,4285620.0,1999-05-14,,A Midsummer Night's Dream,"[Robin Goodfellow, a Puck, Demetrius, Hermia, Lysander, Helena, Theseus, Peaseblossom, Moth, Cobweb, Mustardseed, Oberon, Titania, Egeus, Philostrate, Peter Quince, Snug, Nick Bottom, Francis Flute, Tom Snout, Robin Starveling, Hippolyta]","[Classics, Plays, Fiction, Drama, Fantasy, Academic, School, Romance, Literature, Plays, Theatre, Poetry]",5205.0,1243.0,204.0,"[112406, 121433, 79337, 19247, 5138]",3.94,,0.0,22.0,5138.0,19247.0,79337.0,121433.0,112406.0,337561.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
23,A Month in the Country,tt0093562,http://www.imdb.com/title/tt0093562/,,443524,,,"
Man Booker Prize Nominee (1980), Guardian Fiction Award (1980)
",A Month in the Country,[],"[Fiction, Historical Fiction, Classics, European Literature, British Literature, Art]",604.0,37.0,135.0,"[1427, 1530, 730, 162, 30]",4.07,1980-12-13,2.0,0.0,30.0,162.0,730.0,1530.0,1427.0,3879.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,A Passage to India,tt0087892,http://www.imdb.com/title/tt0087892/,16000000,27187653,84580.0,1985-02-01,"
James Tait Black Memorial Prize for Fiction (1924), Prix Femina Vie Heureuse Anglais (1925)
",A Passage to India,[Adela Quested],"[Classics, Fiction, Cultural, India, Historical Fiction]",2294.0,182.0,376.0,"[10665, 17831, 14098, 4489, 1454]",3.65,1924-12-13,2.0,1.0,1454.0,4489.0,14098.0,17831.0,10665.0,48537.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21965 days 00:00:00.000000000
25,A Patch of Blue,tt0059573,http://www.imdb.com/title/tt0059573/,800000,,,1965-12-10,,A Patch of Blue,[],"[Fiction, Classics, Young Adult, Romance, Novels]",84.0,12.0,142.0,"[257, 289, 197, 42, 15]",3.91,1961-12-13,0.0,0.0,15.0,42.0,197.0,289.0,257.0,800.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1458 days 00:00:00.000000000
26,A Ring of Endless Light,tt0282123,http://www.imdb.com/title/tt0282123/,,,,,"
Newbery Honor (1981), Dorothy Canfield Fisher Children's Book Award Nominee (1982)
",A Ring of Endless Light (Austin Family #5),"[Vicky Austin, Adam Eddington, Zachary Grey]","[Young Adult, Fiction, Fantasy, Childrens]",618.0,20.0,332.0,"[6909, 5506, 3124, 578, 142]",4.14,1980-05-01,2.0,3.0,142.0,578.0,3124.0,5506.0,6909.0,16259.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27,A River Runs Through It,tt0105265,http://www.imdb.com/title/tt0105265/,,43440294,,1992-10-30,,A River Runs Through It,[],"[Fiction, Classics, Literature, Historical Fiction, Short Stories]",250.0,25.0,168.0,"[1781, 1411, 660, 201, 60]",4.13,1976-05-13,0.0,0.0,60.0,201.0,660.0,1411.0,1781.0,4113.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6014 days 00:00:00.000000000
28,A Room with a View,tt0091867,http://www.imdb.com/title/tt0091867/,3000000,15905912,42970.0,,,A Room with a View,"[Lucy Honeychurch, Charlotte Bartlett, George Emerson, Mr. Emerson, Reverend Arthur Beebe, Eleanor Lavish, Cecil Vyse, Frederick Finney]","[Classics, Fiction, Romance, Literature, Historical Fiction]",3667.0,500.0,206.0,"[36868, 43637, 27496, 6892, 2038]",3.91,1908-12-13,0.0,8.0,2038.0,6892.0,27496.0,43637.0,36868.0,116931.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29,A Scanner Darkly,tt0405296,http://www.imdb.com/title/tt0405296/,8700000,5501616,391672.0,2006-07-28,"
British Science Fiction Association Award for Novel (1978), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (1978), Graoully d'Or for Roman étranger (1979), Tähtivaeltaja Award (1991)
",A Scanner Darkly,"[Bob Arctor, Donna Hawthorne, Ernie Luckman, Jim Barris, Charles Freck]","[Fiction, Science Fiction, Science Fiction, Dystopia, Science Fiction Fantasy, Novels, Classics, Science Fiction, Cyberpunk, Fantasy, Speculative Fiction, Literature, American]",1994.0,89.0,219.0,"[20482, 22734, 11462, 2387, 719]",4.04,1977-12-13,4.0,5.0,719.0,2387.0,11462.0,22734.0,20482.0,57784.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10454 days 00:00:00.000000000
