Sphere	tt0120184	http://www.imdb.com/title/tt0120184/business	80000000	36976367	18586765	13 February 1998
Rebecca	tt0032976	http://www.imdb.com/title/tt0032976/business	1288000			12 April 1940
Atonement	tt0783233	http://www.imdb.com/title/tt0783233/business	30000000	50921738	796836	11 January 2008
The Horse Whisperer	tt0119314	http://www.imdb.com/title/tt0119314/business	60000000	75370763	13685488	15 May 1998
One Flew Over the Cuckoo's Nest	tt0073486	http://www.imdb.com/title/tt0073486/business	4400000	112000000	99761	19 November 1975
Left Behind	tt2467046	http://www.imdb.com/title/tt2467046/business	16000000	6300147	6300147	3 October 2014
Circle of Friends	tt0112679	http://www.imdb.com/title/tt0112679/business		23397365		7 April 1995
Cold Mountain	tt0159365	http://www.imdb.com/title/tt0159365/business	79000000	95632614	14574213	25 December 2003
Frankenstein	tt0021884	http://www.imdb.com/title/tt0021884/business	291000	12000000		21 November 1931
Jumanji	tt0113497	http://www.imdb.com/title/tt0113497/business	50000000	100475249		15 December 1995
The Client	tt0109446	http://www.imdb.com/title/tt0109446/business	45000000	92115211		20 July 1994
Confessions of a Shopaholic	tt1093908	http://www.imdb.com/title/tt1093908/business		44277350	17809053	13 February 2009
Starship Troopers	tt0120201	http://www.imdb.com/title/tt0120201/business	105000000	54700065	22058773	7 November 1997
Congo	tt0112715	http://www.imdb.com/title/tt0112715/business	50000000	75791168	24642539	9 June 1995
Wuthering Heights	tt0032145	http://www.imdb.com/title/tt0032145/business		593914		7 April 1939
Of Mice and Men	tt0105046	http://www.imdb.com/title/tt0105046/business		5101632		2 October 1992
James and the Giant Peach	tt0116683	http://www.imdb.com/title/tt0116683/business	38000000	28900101		12 April 1996
A Clockwork Orange	tt0066921	http://www.imdb.com/title/tt0066921/business	2200000	26589355		2 February 1972
The Girl with the Dragon Tattoo	tt1568346	http://www.imdb.com/title/tt1568346/business	90000000	102515793	12750000	21 December 2011
The Lost World	tt0016039	http://www.imdb.com/title/tt0016039/business				22 June 1925
The Green Mile	tt0120689	http://www.imdb.com/title/tt0120689/business	60000000	136801374	18017152	10 December 1999
The Prince of Tides	tt0102713	http://www.imdb.com/title/tt0102713/business	30000000	74787599		25 December 1991
Watchmen	tt0409459	http://www.imdb.com/title/tt0409459/business	130000000	107509799	55214334	6 March 2009
Flowers in the Attic	tt0093036	http://www.imdb.com/title/tt0093036/business		15151736		20 November 1987
The Bridges of Madison County	tt0112579	http://www.imdb.com/title/tt0112579/business	24000000	71516617		2 June 1995
The Beach	tt0163978	http://www.imdb.com/title/tt0163978/business	50000000	39778599	15277921	11 February 2000
The Help	tt1454029	http://www.imdb.com/title/tt1454029/business	25000000	169708112	26044590	10 August 2011
The Dark Is Rising	tt0484562	http://www.imdb.com/title/tt0484562/business	45000000	8791738	3745315	5 October 2007
Tuck Everlasting	tt0283084	http://www.imdb.com/title/tt0283084/business	15000000	19158074	5268764	11 October 2002
Firestarter	tt0087262	http://www.imdb.com/title/tt0087262/business	15000000	15100000		11 May 1984
Where the Red Fern Grows	tt0072402	http://www.imdb.com/title/tt0072402/business				21 June 1974
Fahrenheit 451	tt0060390	http://www.imdb.com/title/tt0060390/business	1500000			14 November 1966
Alice's Adventures in Wonderland & Through the Looking-Glass	tt0068190	http://www.imdb.com/title/tt0068190/business	2500000			
City of Bones	tt1538403	http://www.imdb.com/title/tt1538403/business	60000000	31046201	9336957	21 August 2013
Beloved	tt0120603	http://www.imdb.com/title/tt0120603/business	80000000	22843047	8165551	16 October 1998
The Secret Life of Bees	tt0416212	http://www.imdb.com/title/tt0416212/business	11000000	37766350	10527799	17 October 2008
The Cider House Rules	tt0124315	http://www.imdb.com/title/tt0124315/business	24000000	57536361	110098	7 January 2000
'Salem's Lot	tt0079844	http://www.imdb.com/title/tt0079844/business	4000000			
A Little Princess	tt0113670	http://www.imdb.com/title/tt0113670/business	17000000	10019307		19 May 1995
The Handmaid's Tale	tt0099731	http://www.imdb.com/title/tt0099731/business		4960385		9 March 1990
The Neverending Story	tt0088323	http://www.imdb.com/title/tt0088323/business	27000000	20158808	4325823	20 July 1984
The Silence of the Lambs	tt0102926	http://www.imdb.com/title/tt0102926/business	19000000	130742922	13766814	14 February 1991
Carrie	tt0074285	http://www.imdb.com/title/tt0074285/business	1800000	33800000		16 November 1976
The Scarlet Letter	tt0114345	http://www.imdb.com/title/tt0114345/business	50000000	10400000		13 October 1995
Little House on the Prairie	tt0071007	http://www.imdb.com/title/tt0071007/business				
Water for Elephants	tt1067583	http://www.imdb.com/title/tt1067583/business	38000000	58700247	16842353	22 April 2011
Dear John	tt0989757	http://www.imdb.com/title/tt0989757/business	25000000	80014842	30468614	5 February 2010
The Last Song	tt1294226	http://www.imdb.com/title/tt1294226/business	20000000	62950384	16007426	31 March 2010
The Princess Diaries	tt0247638	http://www.imdb.com/title/tt0247638/business	26000000	108244774	22862269	3 August 2001
The Shipping News	tt0120824	http://www.imdb.com/title/tt0120824/business	35000000	11405825	318502	18 January 2002
The Three Musketeers	tt1509767	http://www.imdb.com/title/tt1509767/business	75000000	20374484	8674452	21 October 2011
The Witches	tt0100944	http://www.imdb.com/title/tt0100944/business		10360553		24 August 1990
Along Came a Spider	tt0164334	http://www.imdb.com/title/tt0164334/business	60000000	74058698	16712407	6 April 2001
The War of the Worlds	tt0046534	http://www.imdb.com/title/tt0046534/business	2000000	4360000		26 August 1953
Watership Down	tt0078480	http://www.imdb.com/title/tt0078480/business				1 November 1978
Beowulf	tt0442933	http://www.imdb.com/title/tt0442933/business	150000000	82161969	27515871	16 November 2007
I, Robot	tt0343818	http://www.imdb.com/title/tt0343818/business	120000000	144801023	52179887	16 July 2004
Christine	tt0085333	http://www.imdb.com/title/tt0085333/business	9700000	21200000	3408000	9 December 1983
The World According to Garp	tt0084917	http://www.imdb.com/title/tt0084917/business	17000000	29712172		13 August 1982
The Namesake	tt0433416	http://www.imdb.com/title/tt0433416/business		13569248	248552	6 April 2007
High Fidelity	tt0146882	http://www.imdb.com/title/tt0146882/business	30000000	27277055	6429107	31 March 2000
The Memory Keeper's Daughter	tt0955298	http://www.imdb.com/title/tt0955298/business				
Coraline	tt0327597	http://www.imdb.com/title/tt0327597/business	60000000	75280058	16849646	6 February 2009
Lolita	tt0056193	http://www.imdb.com/title/tt0056193/business	2000000	9250000		
Hamlet	tt0116477	http://www.imdb.com/title/tt0116477/business	18000000	4414535	148321	25 December 1996
The Wonderful Wizard of Oz	tt0001463	http://www.imdb.com/title/tt0001463/business				24 March 1910
Divergent	tt1840309	http://www.imdb.com/title/tt1840309/business	85000000	150947895	54607747	21 March 2014
Emma	tt0116191	http://www.imdb.com/title/tt0116191/business	6000000	22201883	240649	30 August 1996
The Color Purple	tt0088939	http://www.imdb.com/title/tt0088939/business	15000000	98467863	1710333	7 February 1986
The Time Machine	tt0268695	http://www.imdb.com/title/tt0268695/business	80000000	56684819	22610437	8 March 2002
Catch-22	tt0065528	http://www.imdb.com/title/tt0065528/business	18000000	24911670		24 June 1970
Message in a Bottle	tt0139462	http://www.imdb.com/title/tt0139462/business	80000000	52799004		12 February 1999
The Host	tt1517260	http://www.imdb.com/title/tt1517260/business	40000000	26616999	10600112	29 March 2013
Because of Winn-Dixie	tt0317132	http://www.imdb.com/title/tt0317132/business	14000000	32645546	13218723	18 February 2005
The Godfather	tt0068646	http://www.imdb.com/title/tt0068646/business	6000000	134966411	302393	24 March 1972
The Tale of Despereaux	tt0420238	http://www.imdb.com/title/tt0420238/business	60000000	50818750	10103675	19 December 2008
Red Dragon	tt0289765	http://www.imdb.com/title/tt0289765/business	78000000	92930005	36540945	4 October 2002
The Picture of Dorian Gray	tt0037988	http://www.imdb.com/title/tt0037988/business	3500000			3 March 1945
Fight Club	tt0137523	http://www.imdb.com/title/tt0137523/business	63000000	37030102	11035485	15 October 1999
Everything Is Illuminated	tt0404030	http://www.imdb.com/title/tt0404030/business	7000000	1705595	66806	14 October 2005
The Pelican Brief	tt0107798	http://www.imdb.com/title/tt0107798/business	45000000	100768056	16600000	17 December 1993
Chocolat	tt0241303	http://www.imdb.com/title/tt0241303/business	25000000	71309760	3093590	19 January 2001
Angela's Ashes	tt0145653	http://www.imdb.com/title/tt0145653/business	50000000	13038660	54628	21 January 2000
The Crucible	tt0115988	http://www.imdb.com/title/tt0115988/business	25000000	7340103	62995	27 November 1996
Cujo	tt0085382	http://www.imdb.com/title/tt0085382/business	5000000	21200000	6114000	12 August 1983
Winnie-the-Pooh	tt1586241	http://www.imdb.com/title/tt1586241/business				
V for Vendetta	tt0434409	http://www.imdb.com/title/tt0434409/business	54000000	70511035	25642640	17 March 2006
The Name of the Rose	tt0091605	http://www.imdb.com/title/tt0091605/business		5595706	494571	24 September 1986
Mansfield Park	tt0178737	http://www.imdb.com/title/tt0178737/business		4764741	85608	25 December 1999
The House of the Spirits	tt0107151	http://www.imdb.com/title/tt0107151/business	25000000	6265311		1 April 1994
In Her Shoes	tt0388125	http://www.imdb.com/title/tt0388125/business		32880591	10017575	7 October 2005
Bridge to Terabithia	tt0398808	http://www.imdb.com/title/tt0398808/business	17000000	82272442	28536717	16 February 2007
The Little Mermaid	tt0097757	http://www.imdb.com/title/tt0097757/business	40000000	109859444	9814520	15 November 1989
Love in the Time of Cholera	tt0484740	http://www.imdb.com/title/tt0484740/business	45000000	4607608	1924860	16 November 2007
Eat, Pray, Love	tt0879870	http://www.imdb.com/title/tt0879870/business	60000000	80574010	23104523	13 August 2010
Dreamcatcher	tt0285531	http://www.imdb.com/title/tt0285531/business	68000000	33685268	15027423	21 March 2003
The Virgin Suicides	tt0159097	http://www.imdb.com/title/tt0159097/business	6000000	4859475	235122	19 May 2000
Choke	tt1024715	http://www.imdb.com/title/tt1024715/business	3000000	2926565	1319286	26 September 2008
In Cold Blood	tt0061809	http://www.imdb.com/title/tt0061809/business	3500000			
The Power of One	tt0105159	http://www.imdb.com/title/tt0105159/business		2827107		27 March 1992
Snow Falling on Cedars	tt0120834	http://www.imdb.com/title/tt0120834/business	35000000	14378353	32135	7 January 2000
The Unbearable Lightness of Being	tt0096332	http://www.imdb.com/title/tt0096332/business	17000000	10006806	202189	5 February 1988
A Time to Kill	tt0117913	http://www.imdb.com/title/tt0117913/business	40000000	108706165	19630000	24 July 1996
Kiss the Girls	tt0119468	http://www.imdb.com/title/tt0119468/business	27000000	60491560	13215167	3 October 1997
Nights in Rodanthe	tt0956038	http://www.imdb.com/title/tt0956038/business	30000000	41840908	13418454	26 September 2008
Heidi	tt0028988	http://www.imdb.com/title/tt0028988/business				15 October 1937
American Psycho	tt0144084	http://www.imdb.com/title/tt0144084/business	7000000	15070285	4961015	14 April 2000
The Hours	tt0274558	http://www.imdb.com/title/tt0274558/business	25000000	41675994	338622	14 February 2003
House of Sand and Fog	tt0315983	http://www.imdb.com/title/tt0315983/business	15000000	13005485	45572	9 January 2004
The Bourne Supremacy	tt0372183	http://www.imdb.com/title/tt0372183/business	75000000	176241941	52521865	23 July 2004
The Running Man	tt0093894	http://www.imdb.com/title/tt0093894/business	27000000	38122105	8117465	13 November 1987
Horton Hears a Who!	tt0451079	http://www.imdb.com/title/tt0451079/business	85000000	154529187	45012998	14 March 2008
The Exorcist	tt0070047	http://www.imdb.com/title/tt0070047/business	12000000	204565000	8157666	26 December 1973
The Voyage of the Dawn Treader	tt0980970	http://www.imdb.com/title/tt0980970/business	155000000	104383624	24005069	10 December 2010
The Boy in the Striped Pajamas	tt0914798	http://www.imdb.com/title/tt0914798/business	12500000	9030581	253085	26 November 2008
The Hunt for Red October	tt0099810	http://www.imdb.com/title/tt0099810/business	30000000	122012643	17161835	2 March 1990
Beautiful Creatures	tt1559547	http://www.imdb.com/title/tt1559547/business	60000000	19445217	7582595	14 February 2013
Hannibal	tt0212985	http://www.imdb.com/title/tt0212985/business	87000000	165091464	58003121	9 February 2001
Catching Fire	tt1267161	http://www.imdb.com/title/tt1267161/business				1989
The Iliad	tt1941689	http://www.imdb.com/title/tt1941689/business				
The English Patient	tt0116209	http://www.imdb.com/title/tt0116209/business	27000000	78651430	278439	6 December 1996
A Midsummer Night's Dream	tt0140379	http://www.imdb.com/title/tt0140379/business	11000000	16071990	4285620	14 May 1999
Speak	tt0378793	http://www.imdb.com/title/tt0378793/business	1000000			20 January 2004
The Bonfire of the Vanities	tt0099165	http://www.imdb.com/title/tt0099165/business	47000000	15691192	4216063	21 December 1990
The Adventures of Huckleberry Finn	tt0053571	http://www.imdb.com/title/tt0053571/business				3 August 1960
The Grapes of Wrath	tt0032551	http://www.imdb.com/title/tt0032551/business	800000			15 March 1940
Clear and Present Danger	tt0109444	http://www.imdb.com/title/tt0109444/business	62000000	122187717	20348017	3 August 1994
Macbeth	tt2884018	http://www.imdb.com/title/tt2884018/business	15000000	1108247	69833	11 December 2015
Persuasion	tt0844330	http://www.imdb.com/title/tt0844330/business				
Needful Things	tt0107665	http://www.imdb.com/title/tt0107665/business		15185672		27 August 1993
Nick & Norah's Infinite Playlist	tt1843996	http://www.imdb.com/title/tt1843996/business				
Corelli's Mandolin	tt0238112	http://www.imdb.com/title/tt0238112/business	57000000	25543895	7209345	17 August 2001
Cloudy With a Chance of Meatballs	tt0844471	http://www.imdb.com/title/tt0844471/business	100000000	124870275	30304648	18 September 2009
Girl, Interrupted	tt0172493	http://www.imdb.com/title/tt0172493/business	40000000	28871190	95399	14 January 2000
The Indian in the Cupboard	tt0113419	http://www.imdb.com/title/tt0113419/business	45000000	35617599		14 July 1995
Jumper	tt0489099	http://www.imdb.com/title/tt0489099/business	85000000	80170146	32092991	14 February 2008
Flowers for Algernon	tt0210044	http://www.imdb.com/title/tt0210044/business				
The Phantom of the Opera	tt0293508	http://www.imdb.com/title/tt0293508/business	70000000	51225796	4001890	22 December 2004
Fear and Loathing in Las Vegas	tt0120669	http://www.imdb.com/title/tt0120669/business	18500000	10680275	4335095	22 May 1998
The Children of Men	tt4012578	http://www.imdb.com/title/tt4012578/business				
Beastly	tt1152398	http://www.imdb.com/title/tt1152398/business	17000000	27854896	9851102	4 March 2011
Peter Pan	tt0046183	http://www.imdb.com/title/tt0046183/business	4000000	29445131	5611785	5 February 1953
Slaughterhouse-Five	tt0069280	http://www.imdb.com/title/tt0069280/business	3200000			15 March 1972
The Road	tt0898367	http://www.imdb.com/title/tt0898367/business	25000000	56692	56692	18 December 2009
Into the Wild	tt0758758	http://www.imdb.com/title/tt0758758/business	15000000	18352454	212440	19 October 2007
The Rainmaker	tt0119978	http://www.imdb.com/title/tt0119978/business	40000000	45856732	10626507	21 November 1997
Oliver Twist	tt0380599	http://www.imdb.com/title/tt0380599/business		1987287	68447	30 September 2005
And Then There Were None	tt3581932	http://www.imdb.com/title/tt3581932/business				
The Andromeda Strain	tt0066769	http://www.imdb.com/title/tt0066769/business	6500000	12376563		
