512,The Murder of Roger Ackroyd
513,Extremely Loud and Incredibly Close
514,The Black Stallion
515,Pictures of Hollis Woods
516,Moby-Dick
517,Phantoms
518,Beaches
519,Pay It Forward
520,The Hunchback of Notre-Dame
521,Terms of Endearment
522,The House of Mirth
523,Blue Smoke
524,The Juror
525,A Scanner Darkly
526,"The Soloist: A Lost Dream, an Unlikely Friendship, and the Redemptive Power of Music"
527,Bartleby the Scrivener
528,Snow Flower and the Secret Fan
529,He's Just Not That Into You: The No-Excuses Truth to Understanding Guys
530,White Fang
531,Patriot Games
532,Memnoch the Devil
533,A Beautiful Mind
534,Bless the Beasts and Children
535,Doctor Zhivago
536,Factotum
537,On the Beach
538,How to Train Your Dragon
539,Red Riding Hood
540,Goldfinger
541,The Merchant of Venice
542,Blood Canticle
543,The Last Picture Show
544,A Room with a View
545,Plain Truth
546,A Good Year
547,The Sand Pebbles
548,"I Love You, Beth Cooper"
549,Freckles
550,Eugene Onegin
551,Desperation
552,Tell No One
553,The Ruby in the Smoke
554,The Executioner's Song
555,Point of Impact
556,The Secret
557,Moonraker
558,Brick Lane
559,Hoot
560,If I Stay
561,Raise the Titanic!
562,A Princess of Mars
563,A Bend in the Road
564,Of Love and Shadows
565,The Milagro Beanfield War
566,The Call of the Wild
567,Fatherland
568,Bury My Heart at Wounded Knee: An Indian History of the American West
569,Thunderball
570,Blackwood Farm
571,"Fruits Basket, Vol. 1"
572,Donnie Brasco
573,A Home at the End of the World
574,"Hamlet: Screenplay, Introduction And Film Diary"
575,Girls in Pants: The Third Summer of the Sisterhood
576,The Jungle Book
577,Diamonds Are Forever
578,The Men Who Stare at Goats
579,The Stranger
580,Harriet the Spy
581,To Your Scattered Bodies Go
582,The Hundred and One Dalmatians & The Starlight Barking
583,Orchid Beach
584,The Phantom Tollbooth
585,See Jane Run
586,The Ugly Truth
587,The Body in the Library
588,Death on the Nile
589,Devil in a Blue Dress
590,The Adventures of Sherlock Holmes
591,L.A. Confidential
592,Underworld
593,Marathon Man
594,Planet of the Apes
595,Naked Lunch
596,I Hope They Serve Beer in Hell
597,Snow White & the Huntsman
598,"Tinker, Tailor, Soldier, Spy"
599,The Last of the Mohicans
600,The Outsider
601,"Through the Looking-Glass, and What Alice Found There"
602,Disclosure
